stock,industry_code,industry_name,implement_date
1,J66,货币金融服务,1991/4/3
2,K70,房地产业,1991/1/29
3,S90,综合,1991/7/3
4,G54,道路运输业,1991/1/14
4,C27,医药制造业,2010/8/25
4,I65,软件和信息技术服务业,2020/4/14
5,S90,综合,1990/12/10
5,K70,房地产业,2012/10/26
5,N77,生态保护和环境治理业,2016/5/6
6,K70,房地产业,1992/4/27
7,K70,房地产业,1992/4/13
7,H61,住宿业,2010/5/4
7,K70,房地产业,2017/9/11
8,I64,互联网和相关服务,1992/5/7
8,F51,批发业,2010/8/11
8,H61,住宿业,2012/12/28
8,C37,铁路、船舶、航空航天和其它运输设备制造业,2015/5/4
9,S90,综合,1991/6/25
10,F52,零售业,1995/10/27
10,C35,专用设备制造业,2010/8/30
10,E48,土木工程建筑业,2015/7/20
11,S90,综合,1992/3/30
11,K70,房地产业,2010/8/16
12,C30,非金属矿物制品业,1992/2/28
13,F51,批发业,1992/5/6
14,K70,房地产业,1992/6/2
15,S90,综合,1992/6/25
16,C39,计算机、通信和其他电子设备制造业,1992/3/27
17,C37,铁路、船舶、航空航天和其它运输设备制造业,1992/3/31
18,C17,纺织业,1992/6/16
18,E50,建筑装饰和其他建筑业,2016/7/20
19,C15,酒、饮料和精制茶制造业,1992/10/12
19,F51,批发业,2019/2/12
20,C39,计算机、通信和其他电子设备制造业,1992/4/28
21,C39,计算机、通信和其他电子设备制造业,1994/2/2
22,G58,装卸搬运和运输代理业,1993/5/5
22,G55,水上运输业,2012/10/26
22,G55,水上运输业,2018/12/26
23,E47,房屋建筑业,1993/4/29
23,C30,非金属矿物制品业,2012/10/26
24,K70,房地产业,1993/6/7
25,S90,综合,1993/6/21
25,F51,批发业,2010/8/11
26,C35,专用设备制造业,1993/6/3
26,F52,零售业,2010/8/17
27,D44,电力、热力生产和供应业,1993/9/3
28,C27,医药制造业,1993/8/9
28,F51,批发业,2010/8/18
29,K70,房地产业,1993/9/15
30,C41,其他制造业,1993/9/29
30,C36,汽车制造业,2014/7/1
31,K70,房地产业,1993/10/8
32,C39,计算机、通信和其他电子设备制造业,1993/10/28
32,F51,批发业,2015/7/20
32,E49,建筑安装业,2021/7/19
33,H61,住宿业,1994/1/3
34,S90,综合,1994/5/9
34,F51,批发业,2016/7/20
35,C39,计算机、通信和其他电子设备制造业,1994/4/8
35,N77,生态保护和环境治理业,2014/10/13
36,C17,纺织业,1994/6/17
36,K70,房地产业,2010/8/25
37,D44,电力、热力生产和供应业,1994/7/1
38,I64,互联网和相关服务,1994/8/8
38,K70,房地产业,2010/8/12
38,L72,商务服务业,2016/7/20
39,C33,金属制品业,1994/4/8
40,S90,综合,1994/8/8
40,K70,房地产业,2010/9/15
40,E48,土木工程建筑业,2017/9/11
40,D44,电力、热力生产和供应业,2018/7/30
42,K70,房地产业,1994/9/21
43,S90,综合,1994/9/28
43,K70,房地产业,2010/8/5
45,C17,纺织业,1994/8/15
45,S90,综合,2011/12/31
45,F51,批发业,2012/10/26
45,C39,计算机、通信和其他电子设备制造业,2015/7/20
46,K70,房地产业,1994/9/12
46,J69,其他金融业,2020/1/10
47,K70,房地产业,1994/10/21
48,C13,农副食品加工业,1994/11/1
49,C38,电气机械及器材制造业,1995/3/20
50,C39,计算机、通信和其他电子设备制造业,1995/3/15
55,C33,金属制品业,1996/4/15
56,F52,零售业,1996/7/8
56,K70,房地产业,2010/12/31
56,L72,商务服务业,2019/7/11
58,C39,计算机、通信和其他电子设备制造业,1996/12/26
58,L71,租赁业,2008/5/10
58,L72,商务服务业,2012/10/26
59,C25,石油加工、炼焦及核燃料加工业,1997/1/30
60,C32,有色金属冶炼及压延加工业,1997/1/23
61,F51,批发业,1997/1/10
61,L72,商务服务业,2012/10/26
62,L71,租赁业,1997/1/30
62,L72,商务服务业,2012/10/26
62,F51,批发业,2017/9/11
63,C39,计算机、通信和其他电子设备制造业,1997/11/18
65,E48,土木工程建筑业,1998/6/5
66,C39,计算机、通信和其他电子设备制造业,1997/6/26
68,C39,计算机、通信和其他电子设备制造业,1997/6/11
68,M74,专业技术服务业,2020/7/14
69,L72,商务服务业,1997/9/10
69,N78,公共设施管理业,2012/10/26
69,K70,房地产业,2018/1/19
70,C39,计算机、通信和其他电子设备制造业,2000/5/11
70,C38,电气机械及器材制造业,2012/10/26
78,C27,医药制造业,1998/12/18
78,F52,零售业,2012/10/26
88,G58,装卸搬运和运输代理业,1997/7/28
88,G54,道路运输业,2012/10/26
89,G58,装卸搬运和运输代理业,1998/4/20
89,G56,航空运输业,2012/10/26
90,E47,房屋建筑业,1999/7/21
90,E48,土木工程建筑业,2012/10/26
96,F51,批发业,2000/7/24
99,G56,航空运输业,2000/7/31
100,C39,计算机、通信和其他电子设备制造业,2004/1/30
150,K70,房地产业,2000/8/7
150,Q83,卫生,2016/7/20
151,O81,其他服务业,2000/9/6
151,F52,零售业,2010/8/10
151,F51,批发业,2012/10/26
153,C27,医药制造业,2000/9/20
155,C26,化学原料及化学制品制造业,2000/9/26
155,D44,电力、热力生产和供应业,2020/1/10
156,C29,橡胶和塑料制品业,2000/9/6
156,C33,金属制品业,2010/8/12
156,I65,软件和信息技术服务业,2012/10/12
156,R86,广播、电视、电影和影视录音制作业,2012/10/26
157,C35,专用设备制造业,2000/10/12
158,C17,纺织业,2000/7/24
158,I65,软件和信息技术服务业,2019/7/11
159,C25,石油加工、炼焦及核燃料加工业,2000/9/26
159,F51,批发业,2012/10/26
166,J67,资本市场服务,2015/1/26
301,C17,纺织业,2000/5/29
301,S90,综合,2010/11/25
301,D44,电力、热力生产和供应业,2012/10/26
301,C28,化学纤维制造业,2018/11/2
333,C38,电气机械及器材制造业,2013/9/18
338,C36,汽车制造业,2007/4/30
400,C38,电气机械及器材制造业,1997/4/18
401,C30,非金属矿物制品业,1996/6/14
402,K70,房地产业,1996/6/26
403,C26,化学原料及化学制品制造业,1996/6/28
403,C27,医药制造业,2010/11/17
404,C34,通用设备制造业,1996/6/19
405,C32,有色金属冶炼及压延加工业,1996/6/20
406,B07,石油和天然气开采业,1996/6/28
407,C29,橡胶和塑料制品业,1996/7/3
407,C26,化学原料及化学制品制造业,2012/10/26
407,D45,燃气生产和供应业,2016/7/20
408,C30,非金属矿物制品业,1996/6/28
408,C32,有色金属冶炼及压延加工业,2011/4/19
408,F51,批发业,2012/10/26
408,C26,化学原料及化学制品制造业,2017/2/16
409,C35,专用设备制造业,1996/6/27
409,F51,批发业,2012/10/26
409,B08,黑色金属矿采选业,2013/3/31
409,S90,综合,2016/7/20
409,I65,软件和信息技术服务业,2021/7/19
410,C34,通用设备制造业,1996/7/18
411,F52,零售业,1996/7/16
411,F51,批发业,2010/8/13
412,S90,综合,1996/7/15
413,C39,计算机、通信和其他电子设备制造业,1996/9/25
415,E48,土木工程建筑业,1996/7/16
415,L71,租赁业,2011/8/12
416,C14,食品制造业,1996/7/19
416,F52,零售业,2010/8/12
416,J69,其他金融业,2015/5/4
417,F52,零售业,1996/8/12
418,C38,电气机械及器材制造业,1997/3/28
419,F52,零售业,1996/8/16
420,C28,化学纤维制造业,1996/8/2
421,O79,居民服务业,1996/8/6
421,S90,综合,2012/10/26
421,D45,燃气生产和供应业,2015/5/4
422,C26,化学原料及化学制品制造业,1996/8/15
423,C27,医药制造业,1996/7/29
425,C35,专用设备制造业,1996/8/28
426,D44,电力、热力生产和供应业,1996/8/28
426,B09,有色金属矿采选业,2011/12/22
428,H61,住宿业,1996/8/8
429,G58,装卸搬运和运输代理业,1998/2/20
429,G54,道路运输业,2012/10/26
430,L72,商务服务业,1996/8/29
430,N78,公共设施管理业,2012/10/26
488,C22,造纸及纸制品业,2000/11/20
498,C28,化学纤维制造业,1997/6/9
498,E48,土木工程建筑业,2012/12/20
501,F52,零售业,1992/11/20
502,K70,房地产业,1992/11/23
503,S90,综合,1992/11/30
503,I63,电信、广播电视和卫星传输服务,2012/10/26
503,I64,互联网和相关服务,2013/4/1
504,R85,新闻和出版业,1992/12/8
504,M75,科技推广和应用服务业,2018/1/19
505,K70,房地产业,1992/12/21
505,C13,农副食品加工业,2018/1/19
506,C22,造纸及纸制品业,1993/3/12
506,K70,房地产业,2009/6/5
506,B09,有色金属矿采选业,2015/7/20
507,S90,综合,1993/3/26
507,G55,水上运输业,2012/10/26
508,K70,房地产业,1993/4/30
509,A04,渔业,1993/5/7
509,C29,橡胶和塑料制品业,2011/3/7
509,Q83,卫生,2021/7/19
510,C26,化学原料及化学制品制造业,1993/5/7
511,K70,房地产业,1993/5/18
511,C32,有色金属冶炼及压延加工业,2014/7/1
511,C30,非金属矿物制品业,2015/7/20
513,C27,医药制造业,1993/10/28
514,K70,房地产业,1993/7/12
515,C26,化学原料及化学制品制造业,1993/7/12
516,F52,零售业,1993/8/9
516,Q83,卫生,2018/7/30
517,C39,计算机、通信和其他电子设备制造业,1993/8/6
517,K70,房地产业,2009/6/25
518,C27,医药制造业,1993/9/8
519,C34,通用设备制造业,1993/10/8
519,C30,非金属矿物制品业,2013/10/12
519,C35,专用设备制造业,2017/9/11
520,C25,石油加工、炼焦及核燃料加工业,1993/10/25
520,G55,水上运输业,2010/4/6
521,C38,电气机械及器材制造业,1993/10/18
522,C27,医药制造业,1993/11/8
523,C26,化学原料及化学制品制造业,1993/11/8
524,H61,住宿业,1993/11/18
524,L72,商务服务业,2021/7/19
525,C26,化学原料及化学制品制造业,1993/10/28
526,S90,综合,1993/11/1
526,K70,房地产业,2012/10/26
526,P82,教育,2016/11/10
527,C38,电气机械及器材制造业,1993/11/12
528,C35,专用设备制造业,1993/11/18
529,C17,纺织业,1993/11/18
529,C13,农副食品加工业,2009/9/11
530,C34,通用设备制造业,1993/12/8
531,D44,电力、热力生产和供应业,1994/1/6
532,D44,电力、热力生产和供应业,1994/1/3
532,S90,综合,2011/3/16
533,C38,电气机械及器材制造业,1994/1/3
534,D44,电力、热力生产和供应业,1994/1/10
534,K70,房地产业,2010/8/16
534,C27,医药制造业,2019/4/19
535,C33,金属制品业,1993/11/30
536,C38,电气机械及器材制造业,1993/11/26
536,C39,计算机、通信和其他电子设备制造业,2011/2/1
537,S90,综合,1993/12/10
537,K70,房地产业,2010/8/31
538,C27,医药制造业,1993/12/15
539,D44,电力、热力生产和供应业,1993/11/26
540,S90,综合,1994/2/2
540,K70,房地产业,2010/12/31
541,C38,电气机械及器材制造业,1993/11/23
542,C39,计算机、通信和其他电子设备制造业,1993/12/1
543,D44,电力、热力生产和供应业,1993/12/20
544,C30,非金属矿物制品业,1993/12/8
544,N78,公共设施管理业,2011/4/1
544,D46,水的生产和供应业,2012/10/26
545,C27,医药制造业,1993/12/15
545,C26,化学原料及化学制品制造业,2013/10/12
546,K70,房地产业,1993/12/15
546,C30,非金属矿物制品业,2014/4/8
546,N77,生态保护和环境治理业,2018/11/2
547,C39,计算机、通信和其他电子设备制造业,1993/11/30
548,N78,公共设施管理业,1993/12/20
548,G58,装卸搬运和运输代理业,2010/8/7
548,G54,道路运输业,2012/10/26
549,C36,汽车制造业,1993/12/20
550,C36,汽车制造业,1993/12/1
551,C34,通用设备制造业,1994/1/6
551,S90,综合,2011/3/22
552,B06,煤炭开采和洗选业,1994/1/6
553,C26,化学原料及化学制品制造业,1993/12/3
554,F51,批发业,1993/12/15
555,C39,计算机、通信和其他电子设备制造业,1994/4/8
555,I65,软件和信息技术服务业,2014/4/3
556,G55,水上运输业,1994/5/25
557,C27,医药制造业,1994/6/17
557,C15,酒、饮料和精制茶制造业,2010/12/31
